id,name,default_unit_id,units_convertible,units,qudt_type
10,Occupancy,,False,"[{'id': 31, 'name_long': 'Ordinal Value', 'name_abbr': 'Ordinal', 'data_type': 'Ordinal', 'raw_encoding': None, 'display_encoding': None, 'qudt': None, 'unit_type': None}, {'id': 18, 'name_long': 'Occupancy', 'name_abbr': 'Occ', 'data_type': 'Binary', 'raw_encoding': {'0': ['unoccupied', 'off', 'inactive', 'standby', 'not set', 'bypass', 'false'], '1': ['occupied', 'on', 'active', 'true']}, 'display_encoding': {'0': 'Unoccupied', '1': 'Occupied'}, 'qudt': None, 'unit_type': None}]",
57,Dimensionless,,False,"[{'id': 73, 'name_long': 'Number', 'name_abbr': 'num', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}, {'id': 87, 'name_long': 'Pulse', 'name_abbr': 'pulse', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/NUM', 'unit_type': 'http://qudt.org/vocab/quantitykind/Dimensionless'}]",
11,On/Off,,False,"[{'id': 3, 'name_long': 'Percent', 'name_abbr': '%', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PERCENT', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}, {'id': 20, 'name_long': 'On/Off', 'name_abbr': 'On/Off', 'data_type': 'Binary', 'raw_encoding': {'0': ['off', 'stop', 'stopped', 'inactive', 'false'], '1': ['on', 'start', 'started', 'active', 'true']}, 'display_encoding': {'0': 'Off', '1': 'On'}, 'qudt': None, 'unit_type': None}, {'id': 31, 'name_long': 'Ordinal Value', 'name_abbr': 'Ordinal', 'data_type': 'Ordinal', 'raw_encoding': None, 'display_encoding': None, 'qudt': None, 'unit_type': None}]",
17,Motor Speed,,False,"[{'id': 35, 'name_long': 'Hertz', 'name_abbr': 'Hz', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/HZ', 'unit_type': 'http://qudt.org/vocab/quantitykind/Frequency'}, {'id': 3, 'name_long': 'Percent', 'name_abbr': '%', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PERCENT', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}, {'id': 11, 'name_long': 'Volts', 'name_abbr': 'V', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/V', 'unit_type': 'http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge'}, {'id': 29, 'name_long': 'Revolutions per Minute', 'name_abbr': 'rpm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/REV-PER-MIN', 'unit_type': 'http://qudt.org/vocab/quantitykind/AngularVelocity'}]",
31,Torque,,False,"[{'id': 79, 'name_long': 'Newton Meter', 'name_abbr': 'Nm', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/N-M', 'unit_type': 'http://qudt.org/vocab/quantitykind/Torque'}, {'id': 3, 'name_long': 'Percent', 'name_abbr': '%', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PERCENT', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}]",
7,Position,,False,"[{'id': 3, 'name_long': 'Percent', 'name_abbr': '%', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/PERCENT', 'unit_type': 'http://qudt.org/vocab/quantitykind/DimensionlessRatio'}, {'id': 12, 'name_long': 'Milliampere', 'name_abbr': 'mA', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/MilliA', 'unit_type': 'http://qudt.org/vocab/quantitykind/ElectricCurrent'}, {'id': 11, 'name_long': 'Volts', 'name_abbr': 'V', 'data_type': 'Continuous', 'raw_encoding': None, 'display_encoding': None, 'qudt': 'http://qudt.org/vocab/unit/V', 'unit_type': 'http://qudt.org/vocab/quantitykind/EnergyPerElectricCharge'}]",
12,Enable,21.0,True,"[{'id': 21, 'name_long': 'Enable', 'name_abbr': 'Enable', 'data_type': 'Binary', 'raw_encoding': {'0': ['disable'], '1': ['enable']}, 'display_encoding': {'0': 'Disable', '1': 'Enable'}, 'qudt': None, 'unit_type': None}]",
15,Open/Close,19.0,True,"[{'id': 19, 'name_long': 'Open/Closed', 'name_abbr': 'O/C', 'data_type': 'Binary', 'raw_encoding': {'0': ['off', 'stop', 'stopped', 'close', 'closed', 'inactive', 'false'], '1': ['on', 'start', 'started', 'open', 'active', 'true']}, 'display_encoding': {'0': 'Close', '1': 'Open'}, 'qudt': None, 'unit_type': None}]",
26,State,31.0,True,"[{'id': 31, 'name_long': 'Ordinal Value', 'name_abbr': 'Ordinal', 'data_type': 'Ordinal', 'raw_encoding': None, 'display_encoding': None, 'qudt': None, 'unit_type': None}]",
36,Schedule,31.0,True,"[{'id': 31, 'name_long': 'Ordinal Value', 'name_abbr': 'Ordinal', 'data_type': 'Ordinal', 'raw_encoding': None, 'display_encoding': None, 'qudt': None, 'unit_type': None}]",
