id,name,definition,def_source,def_url,category
120,battery,A container that stores chemical energy that can be converted into electricity and used as a source of power.,brick,https://brickschema.org/ontology/1.1/classes/Battery/,
191,exhaustVAV,A device that regulates the volume of air being exhausted out of a zone by opening or closing the damper.,onboard,,
193,oil,"A viscous liquid derived from petroleum, especially for use as a fuel or lubricant.",brick,https://brickschema.org/ontology/1.2/classes/Oil/,
114,fumeHood,"A fume-collection device mounted over a work space, table, or shelf and serving to conduct unwanted gases away from the area enclosed.",brick,https://brickschema.org/ontology/1.1/classes/Fume_Hood/,
118,limit,A parameter that places a lower or upper bound on the range of permitted values of a Setpoint.,brick,https://brickschema.org/ontology/1.1/classes/Limit/,Point Class
119,reset,"Indicates a boolean point that reset a flag, property or value to its default.",brick,https://brickschema.org/ontology/1.1/classes/Reset_Command/,
213,avg,Average; central or typical value; median,haystack,https://project-haystack.org/doc/lib-phScience/avg,
214,building,"A structure wholly or partially enclosed within exterior walls, or within exterior and party walls, and a roof, affording shelter to persons, animals, or property.
An independent unit of the built environment with a characteristic spatial structure, intended to serve at least one function or user activity [ISO 12006-2:2013]",brick,https://brickschema.org/ontology/1.2/classes/Building/,
215,charge,Indicates electrical energy stored in a battery,onboard,,
216,co,Carbon Monoxide level measured in ppm,onboard,,
217,coldDeck,Duct carries air for cooling,haystack,https://project-haystack.org/doc/lib-phIoT/coldDeck,
218,communication,Transmission of analog or digital signals over a wire or wirelessly.,onboard,,
219,compressor,"(1) device for mechanically increasing the pressure of a gas. (2) often described as being either open, hermetic, or semihermetic to describe how the compressor and motor drive is situated in relation to the gas or vapor being compressed. Types include centrifugal, axial flow, reciprocating, rotary screw, rotary vane, scroll, or diaphragm. 1. device for mechanically increasing the pressure of a gas. 2. specific machine, with or without accessories, for compressing refrigerant vapor.",brick,https://brickschema.org/ontology/1.2/classes/Compressor/,
220,deadband,The range in a process where no changes to output are made. May also indicate the difference between a base setpoint and effective setpoint.,haystack,https://project-haystack.org/doc/lib-phIoT/deadband,
221,efficiency,The ratio of useful work performed by an equipmen to the total energy consumed by the equipment,onboard,,
222,extent,Applies to a point measuring the precentage of spread for a shade in a building.,onboard,,
223,failure,"Alarms that indicate the failure of devices, equipment, systems and control loops",brick,https://brickschema.org/ontology/1.2/classes/Failure_Alarm/,
224,fire,Measures the presence of fire,brick,https://brickschema.org/ontology/1.2/classes/Fire_Sensor/,
225,flue,Duct for exhausting combustion,haystack,https://project-haystack.org/doc/lib-phIoT/flue,
226,heater,"A heater used to warm the air in an enclosed area, such as a room or office",brick,https://brickschema.org/ontology/1.2/classes/Space_Heater/,
227,high,Indicates a degree that has crossed the upper threshold limit. Applied to alarm points,onboard,,
228,hotDeck,Duct carries air for heating,haystack,https://project-haystack.org/doc/lib-phIoT/hotDeck,
229,illuminance,Luminous flux hitting the inside of the sphere at a specific point,haystack,https://project-haystack.org/doc/lib-phScience/illuminance,
230,leak,An alarm that indicates leaks occured in systems containing fluids,brick,https://brickschema.org/ontology/1.2/classes/Leak_Alarm/,
231,low,Indicates a degree that has crossed the lower threshold limit. Applied to alarm points,onboard,,
232,maintenance,An alarm that indicates that repair/maintenance is required on an associated device or equipment,brick,https://brickschema.org/ontology/1.2/classes/Maintenance_Required_Alarm/,
233,motion,Detects the presence of motion in some area,brick,https://brickschema.org/ontology/1.2/classes/Motion_Sensor/,
234,neutralVoltage,Indicates voltage on the neutral line in a three phase connection,onboard,,
235,phase1,Phase measurement in a three-phase electrical system,haystack,https://project-haystack.org/doc/lib-phIoT/phase,
236,phase2,Phase measurement in a three-phase electrical system,haystack,https://project-haystack.org/doc/lib-phIoT/phase,
237,phase3,Phase measurement in a three-phase electrical system,haystack,https://project-haystack.org/doc/lib-phIoT/phase,
238,plantLoop,"Plant piping loop: primary, secondary, or tertiary",haystack,https://project-haystack.org/doc/lib-phIoT/plantLoop,
239,processWater,Water used for a dedicated purpose such us heat or electricity generation or for a laboratory.,onboard,,Medium Property
240,request,Applies to a point indicating the count of heating or cooling requests made.,onboard,,
241,resistance,Applies to a point measuring the opposition to the flow of electric current in a circuit. It is measured in Ohms,onboard,,
242,reverse,Indicates the ability of a valve to change the direction of a refrigerant flow.,onboard,,Direction
243,saturation,Indicates the temperature at which a refrigerant changes state,onboard,,
124,condenserWater,Water used used to remove heat through condensation,haystack,https://project-haystack.org/doc/lib-phIoT/condenser-water,Medium Property
50,cooling,Cooling mode or process,haystack,https://project-haystack.org/doc/lib-phIoT/cooling,Medium Property
244,scene,Indicates a binary point for switching on/off a preset lighting mode,onboard,,
212,domesticHotWaterPlant,"The equipment, devices and conduits that handle the production and distribution of domestic hot water in a building",brick,https://brickschema.org/ontology/1.2/classes/Domestic_Hot_Water_System/,
192,collectionBasin,"An Area where water is transiently collected and directed to the sump or pump suction line, typically integral with a cooling tower",brick,https://brickschema.org/ontology/1.2/classes/Collection_Basin_Water/,
245,suction,Applies to a point measuring pressure level at the intake of a compressor.,onboard,,
246,thermal,Applies to a point measuring heat energy or power.,onboard,,
247,tilt,Applies to a point measuring the precentage of slope for a shade in a building.,onboard,,
248,ventiltation,Indicates a provision of fresh air into a zone.,onboard,,
249,tvoc,Total volatile organic compound (TVOC).,haystack,https://project-haystack.org/doc/lib-phScience/tvoc,
194,cogen,The equipment that generates heat and electricity at the same time. It is also called combined heat and power plant.,onboard,,
195,airDryer,An equipment that removes water vapour concentrates inherent in a compressed air.,onboard,,
196,dryCooler,An equipment that cools process liquids such as water or glycol mixtures.,onboard,,
197,humidifier,An electrical device that is used to increaes the humidity level inside a zone.,onboard,,
198,shade,A device used to control the amount of sunlight entering a building's interior zones. It helps in reducing energy consumption during summer and winter.,onboard,,
199,securityEquipment,Various devices used to control and supervise the safety and secuirty of a building premises,brick,https://brickschema.org/ontology/1.2/classes/Security_Equipment/,
200,fireSafetyEquipment,Various devices intended to prevent ignition of an uncontrolled fire in building premises.,brick,https://brickschema.org/ontology/1.2/classes/Fire_Safety_Equipment,
201,leakDetector,A device that detects leaks occuring in systems with operational fluids.,onboard,,
202,sprayPump,A pump used in spray evaporators,onboard,,
203,uvLighting,Lighting equipment that controls UltraViolet light,onboard,,
204,weatherStation,A dedicated weather measurement station,brick,https://brickschema.org/ontology/1.2/classes/Weather_Station/,
205,hydronicDuctHeater,A duct heater that uses hot fluid to preheat the air being supplied to a room.,onboard,,
206,furnaceDuctHeater,A duct heater that uses gas fired heating coils to preheat the air being supplied to a room.,onboard,,
207,dimmerControlledLighting,Lighting group control module with brightness control.,onboard,,
208,sceneControlledLighting,Lighting to control brightness with scene command.,onboard,,
209,photocellControlledLighting,Lighting system photocell sensor.,onboard,,
210,fireControlPanel,A panel-mounted device that provides status and control of a fire safety system,brick,https://brickschema.org/ontology/1.2/classes/Fire_Control_Panel,
211,sweeperPump,Pump used in cooling tower basing to clean debris and pollutants.,onboard,,
96,coolingTower,Equipment to transfer waste heat into the atmosphere,haystack,https://project-haystack.org/doc/lib-phIoT/coolingTower,
